f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,label
110,96,6,0,0,0,0,0,0,0,0,0,6,18,5,17,5,18,4,19,3,18,1,17,2,18,1,17,1,18,0,17,0,19,0,19,0,18,-1,18,-2,16,-1,19,-2,16,-1,15,-2,15,-2,14,-1,16,-1,16,-2,15,-1,15,-1,17,1,15,0,0,1,17,1,15,2,16,3,15,1,14,2,15,2,16,2,14,2,16,4,14,4,15,3,14,4,14,4,15,5,15,5,15,5,18,4,15,5,14,6,11,4,15,4,16,6,15,8,14,5,15,7,15,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,13,4,14,5,14,5,15,7,13,6,12,7,13,6,12,6,12,7,11,8,11,9,12,9,11,8,10,9,10,8,11,8,10,9,9,7,9,9,10,7,10,7,10,7,8,8,9,7,10,8,10,7,0,0,10,7,10,6,11,6,11,5,9,6,11,6,12,5,10,6,11,5,9,2,12,4,11,6,11,6,10,3,10,4,12,3,11,4,12,4,12,2,12,1,12,4,12,3,13,3,13,1,12,5,12,3,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,5,-19,5,-18,6,-19,8,-19,8,-19,8,-16,8,-17,8,-16,9,-16,10,-16,10,-17,10,-17,10,-15,11,-15,10,-13,11,-17,9,-13,10,-14,8,-12,9,-13,10,-13,9,-14,10,-13,9,-13,10,-14,8,-14,0,0,8,-14,8,-15,7,-15,7,-15,8,-13,7,-15,8,-15,7,-14,6,-17,4,-16,5,-16,6,-15,6,-16,5,-16,6,-16,4,-16,6,-18,3,-15,4,-16,2,-16,5,-17,4,-16,4,-18,3,-17,5,-17,3,-16,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-12,-6,-12,-7,-13,-8,-14,-9,-11,-9,-10,-10,-11,-8,-11,-9,-10,-10,-10,-9,-10,-10,-10,-10,-9,-10,-9,-10,-8,-10,-10,-10,-9,-9,-8,-10,-8,-9,-8,-9,-8,-9,-8,-10,-8,-9,-9,-8,-9,-10,-9,-8,0,0,-9,-9,-10,-8,-10,-7,-10,-7,-9,-8,-10,-8,-10,-8,-9,-7,-10,-7,-10,-6,-11,-6,-10,-7,-10,-6,-11,-5,-10,-5,-11,-5,-12,-6,-10,-4,-12,-5,-9,-4,-11,-6,-11,-5,-13,-5,-11,-6,-12,-6,-11,-4,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-6,18,-7,17,-7,17,-9,18,-9,16,-10,15,-9,16,-10,15,-10,15,-11,14,-12,15,-12,15,-11,14,-13,14,-12,11,-12,14,-11,13,-11,12,-11,11,-11,11,-11,11,-11,12,-11,11,-11,11,-12,13,-10,12,0,0,-10,13,-9,13,-9,14,-8,13,-10,12,-9,13,-10,14,-8,13,-8,14,-7,13,-7,14,-8,13,-8,14,-7,14,-7,14,-6,15,-7,16,-5,14,-6,15,-4,14,-6,15,-7,15,-6,15,-5,16,-7,16,-5,15,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-19,-6,-18,-7,-19,-7,-19,-9,-19,-9,-16,-9,-17,-9,-16,-9,-16,-11,-16,-11,-16,-11,-16,-11,-16,-11,-15,-11,-14,-12,-16,-12,-14,-11,-13,-11,-13,-11,-12,-10,-14,-10,-14,-11,-12,-10,-13,-10,-15,-11,-14,-9,0,0,-14,-9,-14,-8,-15,-8,-15,-8,-14,-8,-14,-8,-15,-9,-15,-7,-16,-7,-14,-5,-15,-6,-15,-6,-16,-7,-16,-5,-16,-7,-17,-5,-18,-5,-15,-4,-16,-4,-15,-3,-17,-5,-16,-5,-17,-4,-17,-3,-17,-5,-17,-3,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,2,-18,2,-17,3,-18,4,-18,4,-18,5,-16,5,-16,5,-15,6,-16,7,-15,7,-16,7,-16,8,-15,8,-15,7,-13,7,-16,6,-13,7,-14,6,-13,6,-13,7,-13,6,-13,7,-12,6,-13,7,-14,5,-13,0,0,5,-14,5,-14,4,-14,4,-14,5,-13,4,-15,5,-15,4,-14,3,-15,2,-14,2,-15,3,-14,2,-14,1,-14,2,-15,1,-15,1,-17,1,-14,0,-15,-1,-14,0,-15,1,-15,1,-15,0,-16,1,-15,0,-15,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,17,2,16,2,18,3,17,4,17,5,14,4,16,4,14,5,15,5,14,7,14,7,14,8,14,8,13,8,12,7,15,7,12,6,13,7,12,7,12,6,12,6,13,5,11,7,12,7,13,7,12,5,0,0,13,5,14,4,13,4,13,3,12,5,13,4,14,4,13,3,14,2,13,2,14,3,13,3,13,3,13,2,15,2,14,0,16,2,13,0,14,0,13,-1,14,0,14,-1,16,0,14,0,15,2,14,-1,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,8,-13,9,-12,9,-13,10,-13,11,-12,10,-10,10,-11,9,-11,11,-10,11,-9,12,-9,12,-10,11,-9,12,-8,11,-7,12,-9,10,-8,11,-8,10,-7,10,-8,10,-8,10,-8,11,-7,10,-7,11,-8,10,-8,0,0,10,-9,9,-9,9,-9,8,-10,8,-8,9,-10,9,-10,8,-10,8,-11,6,-11,7,-11,8,-9,8,-10,7,-11,8,-11,6,-11,7,-13,5,-11,5,-12,4,-12,6,-12,6,-12,7,-13,6,-12,7,-12,5,-12,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-10,17,-9,16,-10,17,-12,16,-12,16,-11,14,-12,14,-11,14,-13,13,-13,13,-13,13,-14,14,-14,13,-15,12,-14,10,-14,13,-13,11,-13,11,-12,10,-12,10,-13,10,-13,11,-13,10,-12,10,-13,12,-11,11,0,0,-11,12,-11,12,-11,12,-10,12,-11,10,-10,13,-12,13,-9,12,-9,14,-10,13,-8,13,-10,13,-9,14,-8,14,-9,14,-7,15,-9,16,-6,13,-7,15,-5,14,-7,15,-8,15,-8,16,-6,16,-8,15,-6,15,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,19,-14,2,-29,23,3,24,-7,20,-16,22,-5,7,11,25,4,27,-14,29,0,41,7,45,11,40,-4,46,0,45,3,54,9,50,14,15,12,30,5,24,21,38,23,48,18,17,14,41,10,67,36,57,25,0,0,68,26,58,43,65,28,73,3,24,13,68,38,78,34,58,13,53,35,56,-8,78,10,44,34,80,20,71,11,84,58,80,13,78,14,88,13,85,30,75,15,81,22,79,52,72,39,63,27,64,44,82,36,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-13,14,-13,13,-14,14,-15,13,-15,12,-15,10,-15,11,-15,10,-16,10,-16,9,-17,9,-17,9,-16,8,-17,7,-16,6,-17,9,-15,7,-15,7,-14,6,-15,6,-15,7,-15,7,-14,6,-15,6,-16,7,-13,8,0,0,-14,8,-14,8,-14,8,-13,9,-13,7,-14,9,-14,8,-12,9,-14,9,-12,9,-12,10,-13,9,-13,10,-12,10,-13,11,-11,11,-13,12,-10,11,-11,12,-10,11,-12,12,-12,11,-13,12,-11,13,-13,11,-11,12,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,16,-4,15,-4,17,-3,17,-2,18,-1,15,-1,16,-1,15,0,16,0,16,1,16,1,17,1,16,2,16,2,14,3,17,2,13,2,14,2,13,2,13,2,14,2,14,2,13,3,13,2,15,2,13,1,0,0,14,1,14,0,14,0,14,-1,12,1,14,-1,15,0,13,-1,15,-1,13,-3,14,-2,13,-1,14,-2,13,-3,14,-2,13,-3,16,-3,12,-4,14,-4,12,-5,14,-4,14,-3,15,-4,13,-5,15,-3,13,-4,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-3,-19,-2,-19,-1,-20,0,-21,1,-20,2,-18,1,-19,1,-18,2,-19,3,-18,3,-19,3,-19,3,-18,4,-19,4,-17,3,-19,3,-17,4,-16,3,-16,4,-16,3,-16,4,-16,4,-16,3,-16,3,-18,2,-17,0,0,1,-17,1,-17,0,-17,0,-17,2,-16,0,-17,1,-17,-1,-16,-1,-17,-3,-16,-3,-17,-1,-16,-2,-17,-3,-16,-2,-17,-4,-17,-3,-18,-4,-15,-4,-16,-6,-15,-5,-17,-4,-17,-5,-17,-6,-16,-4,-18,-5,-17,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-7,-16,-6,-16,-7,-17,-6,-17,-5,-18,-4,-16,-4,-16,-3,-16,-2,-17,-2,-16,-2,-18,-2,-18,-1,-16,-1,-17,0,-15,-2,-17,-1,-15,-1,-15,-1,-15,-1,-15,-1,-14,-1,-16,0,-14,-1,-15,-1,-16,-2,-15,0,0,-2,-15,-3,-15,-3,-15,-4,-14,-2,-14,-3,-15,-3,-15,-4,-14,-4,-15,-5,-13,-5,-14,-4,-14,-5,-15,-5,-13,-5,-14,-6,-14,-6,-16,-6,-13,-6,-13,-7,-12,-6,-14,-6,-14,-7,-15,-8,-14,-6,-15,-7,-14,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,17,0,16,1,17,1,18,3,17,3,15,3,16,3,15,3,15,4,15,5,15,6,16,5,15,6,14,6,13,6,15,5,13,5,13,5,12,5,12,5,13,5,13,5,12,5,12,5,14,5,13,4,0,0,13,3,14,3,14,3,14,2,13,4,14,2,14,3,13,2,14,1,13,0,14,1,13,2,14,2,14,0,14,1,14,-1,16,0,13,-1,14,-1,13,-2,14,-1,15,-1,15,-1,14,-2,15,0,14,-2,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,5,16,5,15,5,16,4,17,3,17,2,15,2,15,2,15,1,16,0,15,0,17,0,17,-1,15,-2,15,-2,14,-1,16,-1,14,-2,14,-1,14,-1,14,-1,14,-1,14,-2,13,-1,14,-2,15,0,14,0,0,0,14,1,14,1,15,2,14,0,13,2,14,1,15,2,13,3,13,2,11,3,13,1,13,2,14,3,14,2,14,4,14,5,15,4,12,4,13,5,12,4,14,3,14,4,14,5,13,3,15,4,14,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,15,10,14,10,15,11,15,12,14,12,12,12,13,12,11,12,12,12,10,14,11,14,11,14,10,14,9,14,8,14,11,14,9,13,9,12,8,12,9,12,8,12,9,12,7,12,8,12,9,13,9,11,0,0,10,11,11,11,11,10,11,9,9,11,11,10,12,11,11,9,12,10,12,8,12,9,11,9,12,9,12,8,11,9,13,8,15,9,13,7,13,7,13,5,13,8,14,8,15,8,15,6,13,9,14,7,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-10,-17,-10,-16,-10,-17,-9,-18,-8,-18,-7,-17,-7,-17,-7,-17,-6,-18,-4,-18,-5,-19,-6,-19,-4,-17,-3,-18,-3,-16,-5,-18,-4,-16,-3,-16,-3,-15,-3,-16,-3,-15,-4,-17,-2,-15,-3,-15,-4,-17,-4,-15,0,0,-5,-16,-5,-16,-6,-15,-7,-16,-4,-15,-6,-14,-6,-16,-6,-14,-8,-15,-8,-13,-8,-14,-6,-14,-6,-14,-8,-13,-8,-15,-9,-14,-9,-16,-8,-12,-9,-14,-10,-12,-9,-14,-10,-14,-10,-15,-10,-13,-9,-15,-9,-14,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,1,-17,1,-17,2,-18,3,-18,4,-18,3,-15,4,-16,4,-15,5,-16,6,-16,6,-16,6,-16,6,-15,7,-15,6,-13,6,-16,6,-13,6,-13,6,-12,6,-12,6,-13,6,-14,6,-12,5,-12,6,-14,4,-13,0,0,4,-14,4,-14,4,-14,3,-14,5,-13,3,-14,4,-14,3,-14,3,-15,1,-14,1,-14,3,-13,2,-15,1,-14,2,-15,1,-14,1,-16,0,-14,0,-15,-1,-14,0,-15,1,-15,1,-16,-1,-15,1,-16,0,-15,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,9,16,9,15,9,16,9,18,7,17,6,16,6,16,6,16,5,17,4,16,4,18,4,18,3,17,3,17,2,17,4,17,3,16,2,16,2,15,2,15,2,15,2,16,2,14,3,15,3,16,4,15,0,0,4,15,4,14,5,15,5,14,3,14,5,14,5,15,5,14,6,15,6,12,7,14,5,13,6,14,7,13,6,14,8,13,9,15,8,12,8,13,9,12,8,14,7,14,8,14,9,13,8,15,9,13,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,15,12,13,11,14,13,13,13,13,13,11,13,12,14,11,13,11,14,10,14,10,15,11,15,10,14,9,15,8,14,9,15,7,14,7,13,7,12,8,13,8,13,8,13,6,13,8,13,9,14,9,12,0,0,9,12,9,12,10,12,10,11,8,11,10,11,10,12,10,10,11,11,11,9,11,10,10,10,11,10,12,10,11,11,12,9,14,11,12,8,13,9,13,7,13,9,13,9,14,9,14,7,13,10,13,8,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,15,-7,15,-7,15,-6,17,-5,16,-4,15,-4,15,-4,15,-3,16,-3,15,-2,16,-2,17,-2,16,-1,16,0,15,0,16,-2,14,-1,13,0,13,0,13,0,14,-1,14,-1,13,0,13,-1,15,-1,14,-2,0,0,14,-2,14,-3,14,-3,12,-4,13,-2,13,-4,14,-3,13,-4,13,-4,12,-5,12,-5,13,-4,13,-5,13,-5,13,-5,13,-6,14,-6,11,-7,12,-6,11,-8,13,-7,13,-7,13,-7,12,-8,13,-7,12,-7,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,14,-8,15,-8,15,-7,16,-7,15,-6,15,-4,15,-5,15,-5,16,-4,15,-4,16,-3,16,-4,16,-2,15,-2,14,-2,16,-2,14,-2,13,-1,14,-1,13,-1,13,-2,14,-2,12,-1,14,-1,14,-2,13,-3,0,0,14,-3,13,-3,14,-4,12,-4,12,-2,13,-4,14,-3,13,-4,13,-4,11,-5,13,-6,12,-4,13,-5,13,-6,13,-4,12,-6,14,-6,12,-7,12,-7,11,-7,13,-7,13,-6,13,-7,13,-8,13,-6,12,-8,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,2,16,1,16,1,17,0,17,-1,16,-1,15,-2,16,-2,15,-2,16,-3,15,-3,15,-3,16,-4,15,-5,15,-5,14,-5,16,-4,14,-4,14,-4,13,-4,13,-4,13,-4,14,-4,13,-3,13,-4,14,-2,13,0,0,-2,14,-2,13,-2,14,-1,13,-3,13,-1,13,-2,14,-1,13,-1,14,1,13,0,13,-1,13,0,14,0,14,0,13,2,14,1,15,2,13,2,13,3,12,2,14,1,14,2,14,3,14,1,14,2,14,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-19,3,-18,2,-20,2,-20,1,-21,0,-18,-1,-19,0,-18,-1,-19,-1,-19,-2,-19,-3,-19,-3,-19,-3,-18,-4,-16,-4,-19,-3,-16,-3,-16,-4,-16,-3,-16,-2,-16,-3,-16,-3,-15,-4,-15,-3,-17,-4,-16,-2,0,0,-16,-2,-16,-1,-17,-1,-16,0,-16,-2,-17,0,-17,0,-16,0,-16,2,-15,3,-16,2,-16,1,-17,1,-16,2,-17,2,-16,4,-18,3,-15,3,-16,4,-15,5,-16,3,-16,4,-18,4,-17,5,-17,2,-16,4,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-17,16,-18,15,-18,16,-19,16,-19,14,-18,12,-19,13,-19,10,-20,11,-20,10,-20,11,-20,11,-20,11,-20,10,-18,9,-19,11,-18,9,-18,8,-17,8,-17,9,-17,8,-17,9,-16,8,-16,10,-16,11,-16,11,0,0,-15,11,-15,12,-15,12,-15,12,-14,11,-14,12,-14,13,-14,12,-14,14,-14,13,-14,15,-13,13,-13,14,-14,14,-14,15,-13,15,-13,16,-13,15,-13,15,-13,15,-13,15,-13,16,-13,16,-12,18,-12,16,-12,16,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-14,8,-14,8,-15,8,-17,7,-16,6,-15,5,-15,6,-14,5,-15,5,-15,4,-17,4,-17,5,-16,4,-16,3,-14,2,-17,4,-15,2,-14,1,-14,2,-13,3,-14,3,-14,2,-13,1,-15,2,-16,3,-14,3,0,0,-14,4,-14,5,-15,5,-13,5,-13,3,-14,5,-14,6,-13,5,-14,6,-11,7,-13,7,-13,5,-13,6,-12,8,-13,6,-13,8,-15,8,-11,8,-12,9,-9,9,-12,8,-12,8,-13,8,-12,9,-13,7,-12,8,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,14,11,13,10,14,12,15,15,11,12,11,14,11,13,12,13,10,12,9,13,10,14,11,16,10,15,9,15,7,14,10,15,8,15,6,13,6,15,7,14,6,12,8,13,6,12,6,13,8,16,8,13,0,0,9,12,9,14,11,13,8,12,7,13,8,13,10,14,8,11,10,11,10,10,11,10,9,11,10,11,11,9,11,11,12,10,12,11,12,8,13,8,12,7,12,11,12,11,12,10,15,9,11,10,13,10,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,15,-3,15,-3,16,-3,18,-1,16,-1,15,1,16,0,14,0,15,0,15,2,16,2,16,2,15,2,15,4,13,3,16,2,14,3,13,3,13,3,12,2,13,2,14,2,12,3,13,3,14,3,13,1,0,0,14,1,14,1,15,0,13,-1,13,2,14,0,15,0,13,-1,14,-1,12,-3,13,-2,13,0,13,0,13,-2,13,-1,13,-3,16,-2,13,-4,14,-4,12,-6,14,-3,14,-4,14,-4,14,-4,14,-2,13,-4,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-10,-14,-9,-13,-10,-14,-10,-17,-8,-14,-5,-14,-8,-16,-7,-14,-6,-15,-6,-15,-5,-18,-5,-18,-5,-15,-4,-16,-2,-13,-6,-17,-4,-14,-2,-14,-2,-13,-4,-13,-3,-14,-5,-15,-2,-13,-2,-15,-4,-16,-4,-13,0,0,-4,-14,-6,-13,-5,-14,-6,-14,-2,-14,-6,-14,-6,-14,-6,-12,-6,-14,-7,-11,-7,-12,-5,-12,-7,-13,-8,-12,-7,-13,-9,-11,-9,-15,-9,-12,-9,-10,-9,-10,-9,-13,-9,-12,-9,-13,-9,-13,-9,-15,-8,-11,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-16,10,-14,10,-17,10,-18,8,-17,9,-16,8,-16,8,-16,6,-16,7,-15,6,-18,5,-17,4,-20,3,-16,3,-16,2,-16,5,-16,4,-14,3,-16,1,-15,4,-16,5,-16,3,-13,2,-16,2,-17,3,-15,4,0,0,-15,4,-15,4,-16,7,-15,5,-16,4,-15,6,-17,7,-14,6,-15,7,-13,6,-14,7,-14,5,-15,6,-13,7,-14,7,-14,8,-17,9,-12,8,-13,10,-11,9,-14,8,-15,9,-14,9,-14,10,-14,6,-13,10,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,10,15,9,13,10,15,8,18,7,16,6,14,7,14,6,15,6,15,5,15,5,17,4,17,4,17,3,18,1,15,3,17,2,16,2,15,1,15,4,14,1,14,3,14,0,15,1,14,2,17,5,15,0,0,3,15,6,15,4,16,7,14,3,15,5,14,5,13,6,13,5,15,6,14,7,13,5,13,7,14,6,14,7,13,8,14,9,15,7,12,9,12,9,12,9,13,8,14,10,13,9,11,6,15,6,12,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-17,8,-15,7,-18,8,-19,8,-19,5,-16,4,-17,5,-17,4,-17,3,-17,1,-20,2,-20,3,-19,2,-18,0,-15,-1,-18,4,-16,1,-16,-1,-16,0,-14,3,-16,1,-16,0,-14,0,-16,2,-17,1,-16,2,0,0,-17,1,-15,3,-18,4,-15,2,-16,0,-16,3,-17,3,-14,3,-17,3,-14,5,-15,4,-14,3,-16,3,-15,7,-15,5,-14,7,-18,7,-13,5,-15,7,-14,8,-14,6,-16,7,-16,7,-14,6,-15,5,-15,6,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,16,7,15,7,16,8,17,10,14,9,13,10,14,9,13,9,13,10,12,11,13,12,14,11,13,12,12,12,9,11,13,12,11,11,10,11,10,11,10,10,10,10,11,10,9,10,10,10,12,11,12,10,0,0,12,10,12,9,14,9,12,7,11,9,13,8,13,9,12,7,13,8,12,4,14,6,12,7,13,7,14,6,13,6,15,4,17,6,14,4,15,5,14,2,15,5,15,5,16,4,16,3,14,6,14,4,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-18,-2,-18,-1,-20,-3,-20,-4,-19,-4,-15,-4,-16,-5,-17,-5,-17,-5,-16,-7,-20,-8,-18,-9,-17,-7,-17,-8,-15,-7,-18,-7,-15,-6,-14,-7,-13,-6,-14,-7,-14,-7,-16,-7,-12,-7,-15,-8,-16,-8,-14,-6,0,0,-15,-7,-15,-5,-16,-5,-15,-5,-14,-6,-16,-4,-16,-4,-14,-4,-17,-4,-15,-2,-16,-3,-14,-5,-16,-4,-16,-1,-16,-3,-15,1,-19,-2,-15,-1,-16,0,-15,2,-16,-2,-17,-1,-18,-2,-18,0,-18,-3,-16,-1,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,15,6,14,5,15,6,16,9,14,8,12,8,14,7,12,7,13,7,12,9,12,11,13,11,12,10,11,11,9,9,13,10,11,9,10,9,9,9,10,8,10,8,11,8,8,9,9,10,11,10,10,8,0,0,11,7,12,7,13,7,12,5,11,8,12,6,13,6,12,5,13,5,12,3,13,4,11,6,12,5,13,4,13,4,13,2,16,5,13,2,14,2,13,0,14,2,14,2,15,3,15,2,13,4,13,2,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,0,16,0,15,0,17,-2,18,-2,16,-3,14,-3,16,-3,15,-3,15,-4,14,-5,16,-5,16,-5,15,-6,15,-5,12,-6,16,-5,14,-6,12,-6,12,-5,12,-5,13,-5,13,-6,11,-6,12,-6,15,-4,13,0,0,-4,14,-3,14,-4,14,-3,13,-5,12,-3,14,-4,14,-3,13,-3,14,-1,13,-1,14,-3,13,-2,13,-1,13,-2,14,1,15,-1,16,1,13,0,14,2,12,0,15,0,14,0,15,1,15,-1,14,1,14,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-9,-11,-8,-10,-9,-12,-8,-14,-7,-12,-6,-11,-7,-12,-5,-12,-6,-12,-5,-13,-6,-14,-6,-13,-6,-13,-4,-13,-3,-11,-6,-14,-4,-12,-3,-12,-3,-11,-4,-10,-3,-11,-4,-11,-3,-11,-4,-11,-4,-12,-5,-11,0,0,-5,-12,-6,-11,-6,-11,-6,-11,-4,-11,-5,-11,-6,-11,-5,-11,-6,-11,-7,-9,-8,-10,-6,-10,-7,-10,-8,-10,-7,-10,-8,-9,-8,-11,-8,-9,-8,-10,-9,-8,-8,-10,-8,-9,-8,-10,-9,-10,-7,-11,-8,-9,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,8,-17,8,-16,8,-17,11,-18,10,-15,10,-13,11,-15,11,-14,11,-14,13,-12,13,-13,13,-14,13,-13,14,-12,12,-10,14,-14,12,-12,11,-10,12,-10,11,-10,11,-10,12,-11,12,-8,12,-10,13,-11,11,-11,0,0,12,-12,10,-12,11,-13,9,-12,12,-11,10,-13,11,-13,10,-12,10,-13,6,-13,8,-14,9,-11,9,-12,8,-14,8,-13,7,-15,10,-16,6,-15,7,-15,4,-15,8,-15,8,-15,8,-15,7,-16,9,-14,6,-15,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-15,-2,-14,-3,-16,-3,-16,-5,-15,-5,-13,-5,-15,-5,-13,-5,-14,-5,-13,-7,-15,-8,-15,-7,-14,-7,-13,-8,-11,-7,-15,-7,-12,-7,-12,-7,-11,-7,-11,-6,-12,-6,-12,-6,-10,-7,-12,-7,-13,-7,-12,-5,0,0,-13,-5,-13,-4,-13,-4,-13,-3,-12,-6,-13,-4,-14,-4,-12,-4,-14,-3,-12,-2,-13,-2,-12,-3,-13,-3,-13,-1,-13,-2,-13,0,-16,-2,-13,0,-14,0,-13,2,-13,-1,-14,0,-14,-1,-14,0,-14,-2,-13,0,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-12,-13,-12,-13,-13,-14,-13,-17,-12,-15,-9,-15,-10,-15,-9,-14,-9,-15,-8,-16,-8,-17,-9,-17,-7,-17,-6,-17,-5,-15,-8,-17,-7,-16,-5,-15,-5,-15,-6,-14,-6,-14,-6,-15,-4,-14,-5,-15,-6,-16,-7,-15,0,0,-7,-15,-8,-14,-8,-15,-8,-14,-6,-14,-8,-14,-8,-14,-8,-14,-9,-14,-9,-11,-10,-13,-8,-13,-9,-13,-10,-12,-9,-13,-11,-13,-11,-15,-11,-12,-12,-12,-12,-10,-11,-13,-11,-13,-11,-13,-12,-12,-10,-14,-11,-12,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,11,-11,10,-11,12,-12,14,-11,13,-10,12,-8,13,-10,12,-9,13,-9,14,-7,15,-8,15,-8,15,-7,14,-6,12,-5,15,-8,13,-7,13,-6,12,-5,12,-6,12,-6,13,-6,12,-4,13,-5,14,-6,12,-6,0,0,12,-7,12,-8,13,-8,11,-9,12,-6,12,-8,12,-8,11,-8,11,-9,9,-10,10,-10,11,-7,11,-8,10,-10,10,-9,9,-12,12,-12,8,-10,9,-12,6,-12,10,-11,10,-12,11,-11,10,-12,11,-10,9,-11,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-14,-6,-14,-6,-14,-6,-16,-9,-14,-7,-12,-8,-13,-8,-12,-8,-13,-8,-11,-9,-12,-10,-13,-10,-12,-10,-11,-11,-10,-9,-12,-10,-11,-10,-10,-9,-10,-9,-10,-8,-10,-8,-11,-9,-8,-9,-10,-9,-11,-10,-10,-8,0,0,-12,-8,-11,-7,-12,-8,-11,-6,-10,-9,-12,-7,-12,-7,-12,-6,-13,-6,-12,-4,-13,-6,-11,-7,-12,-7,-13,-5,-12,-6,-14,-4,-14,-6,-13,-4,-13,-3,-13,-1,-13,-4,-14,-4,-14,-4,-14,-4,-13,-6,-13,-4,0,0,0,0,0,0,0,0,0,0,0
