f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,label
110,96,6,0,0,0,0,0,0,0,0,0,16,-10,16,-9,17,-8,17,-7,18,-7,16,-6,17,-6,16,-6,17,-6,17,-5,17,-5,17,-3,17,-3,17,-3,16,-3,16,-4,15,-4,16,-3,15,-2,15,-3,15,-3,15,-4,15,-3,15,-4,15,-3,14,-4,0,0,14,-5,15,-5,14,-4,14,-6,13,-5,14,-6,14,-6,13,-6,14,-7,13,-7,13,-7,13,-7,14,-7,13,-8,13,-8,13,-8,14,-9,12,-8,12,-8,12,-9,13,-9,13,-8,14,-10,13,-10,13,-9,12,-9,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,16,-9,16,-8,17,-8,17,-6,18,-6,16,-5,17,-5,17,-4,17,-4,17,-3,18,-4,17,-3,17,-2,18,-2,16,-1,18,-3,15,-2,16,-2,15,-2,15,-2,16,-1,16,-1,15,-2,15,-3,16,-2,14,-4,0,0,14,-3,14,-5,13,-5,16,-4,13,-4,13,-2,15,-4,14,-6,18,-5,13,-4,16,-6,14,-5,12,-6,16,-5,15,-5,14,-7,14,-7,13,-6,16,-7,12,-8,14,-7,15,-8,15,-7,14,-8,14,-8,13,-7,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-16,9,-16,9,-16,10,-17,8,-18,7,-16,7,-17,7,-17,6,-17,6,-18,5,-18,4,-18,5,-17,3,-17,3,-16,3,-18,5,-15,4,-16,4,-15,3,-15,3,-16,3,-16,4,-15,3,-15,3,-16,3,-15,4,0,0,-15,5,-15,5,-14,5,-14,6,-14,4,-15,6,-14,6,-14,6,-14,8,-13,8,-14,8,-14,6,-14,7,-13,7,-13,7,-13,8,-14,8,-12,8,-12,8,-12,9,-13,9,-13,9,-14,9,-13,9,-14,9,-13,10,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,14,12,13,11,14,12,13,14,12,14,11,13,11,12,10,12,11,14,9,14,9,15,9,15,8,14,8,15,7,13,9,15,8,13,8,13,7,12,8,12,7,13,8,12,6,13,7,12,8,13,8,11,0,0,8,12,9,11,10,11,10,11,8,11,10,11,10,12,10,10,11,11,10,10,11,10,10,10,11,10,11,10,10,10,11,9,13,10,11,8,12,8,12,7,12,9,12,9,13,9,13,8,12,10,12,8,0,0,0,0,0,0,0,0,0,0,0
37,80,2,0,0,0,0,0,0,0,0,0,21,-12,21,-11,23,-11,23,-11,23,-10,22,-7,23,-7,22,-5,23,-6,22,-5,23,-7,23,-6,22,-6,22,-5,20,-4,22,-6,20,-4,19,-4,19,-4,19,-4,18,-4,20,-5,17,-4,18,-6,19,-7,19,-7,0,0,18,-8,18,-8,18,-9,18,-9,17,-8,18,-9,18,-10,17,-8,18,-10,17,-9,18,-11,17,-10,17,-11,18,-11,17,-10,17,-11,18,-13,17,-12,17,-11,17,-12,17,-11,17,-12,17,-13,17,-14,16,-13,16,-13,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-14,5,-14,5,-15,5,-17,4,-15,3,-14,2,-15,3,-14,2,-15,3,-14,0,-16,0,-16,0,-15,-1,-15,-1,-13,-1,-16,1,-14,0,-13,-1,-13,-1,-13,0,-13,0,-13,0,-12,-2,-14,-1,-15,-1,-13,0,0,0,-13,0,-13,1,-14,1,-13,2,-13,-1,-14,1,-14,1,-13,1,-14,2,-12,3,-13,3,-13,1,-13,1,-13,3,-13,3,-13,4,-15,3,-12,4,-12,4,-11,5,-13,3,-13,4,-13,4,-13,5,-13,3,-12,4,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,12,11,12,11,12,12,11,13,11,13,10,12,10,12,9,12,9,13,9,14,8,14,7,14,7,13,8,13,7,13,8,13,7,13,7,12,7,12,7,12,7,12,7,12,7,12,7,11,7,12,7,11,0,0,7,10,8,11,8,11,8,11,8,10,8,10,8,10,9,10,9,10,9,10,9,10,9,10,9,10,10,9,9,10,10,9,11,9,10,9,10,10,11,8,10,9,11,9,12,9,11,9,11,8,11,9,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-4,19,-4,18,-4,18,-5,18,-6,17,-6,17,-7,17,-7,17,-8,16,-8,16,-8,16,-8,16,-9,15,-8,15,-8,14,-8,16,-7,14,-8,14,-8,13,-8,14,-8,14,-8,13,-8,13,-7,13,-8,14,-7,13,0,0,-6,13,-6,14,-6,14,-5,15,-5,13,-6,14,-6,14,-5,13,-5,15,-4,14,-4,15,-5,14,-4,15,-3,15,-4,15,-3,15,-3,16,-3,15,-3,15,-2,15,-3,16,-3,16,-2,16,-2,16,-3,16,-1,15,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,7,-17,6,-16,7,-16,9,-16,8,-15,8,-14,8,-14,8,-14,9,-14,10,-13,10,-13,10,-13,10,-13,11,-12,10,-11,10,-13,9,-11,9,-12,8,-11,9,-11,9,-11,9,-12,9,-11,9,-11,9,-12,7,-12,0,0,7,-13,8,-12,7,-13,6,-13,8,-11,7,-13,7,-14,6,-13,5,-13,5,-14,5,-14,6,-13,6,-13,4,-14,6,-14,4,-14,5,-16,3,-13,3,-14,2,-14,4,-15,4,-14,4,-15,2,-15,4,-15,3,-14,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-2,-17,-2,-16,-2,-18,0,-19,0,-18,2,-15,1,-17,1,-16,1,-17,3,-16,4,-18,3,-17,4,-16,5,-16,4,-14,4,-17,4,-15,4,-14,4,-14,3,-13,4,-14,3,-14,5,-13,5,-14,5,-16,3,-15,0,0,3,-15,2,-15,2,-16,1,-15,4,-14,1,-15,2,-16,1,-14,1,-16,-1,-14,-1,-15,1,-14,1,-14,-1,-14,0,-15,-2,-16,0,-17,-2,-15,-2,-15,-4,-14,-2,-16,-2,-16,-2,-15,-2,-16,0,-16,-2,-15,0,0,0,0,0,0,0,0,0,0,0
